[20-Apr-2015 21:20:30 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 7
[20-Apr-2015 21:20:34 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 7
[20-Apr-2015 21:27:18 UTC] PHP Parse error:  syntax error, unexpected '$conn' (T_VARIABLE) in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 31
[20-Apr-2015 21:27:20 UTC] PHP Parse error:  syntax error, unexpected '$conn' (T_VARIABLE) in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 31
[20-Apr-2015 21:27:28 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 33
[20-Apr-2015 21:28:10 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:28:30 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 30
[20-Apr-2015 21:28:33 UTC] PHP Parse error:  syntax error, unexpected ';' in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 30
[20-Apr-2015 21:28:42 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:29:00 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:29:02 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:29:07 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:29:20 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:29:21 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:31:49 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:31:52 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:32:19 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:32:23 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:32:26 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:34:54 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:35:26 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
[20-Apr-2015 21:35:28 UTC] PHP Notice:  Array to string conversion in C:\Apache24\htdocs\ordersystem\includes\readmenu.php on line 34
